위치,일자,현재발전출력,계절,평균기온(°C),강수 계속시간(hr),1시간 최다강수량(mm),일강수량(mm),가조시간(hr),합계 일조시간(hr),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),수평일사량,경사일사량,외기온도,위치코드
당진,2020-01-01,92.7390956838831,겨울,-0.3,0.0,0.0,0.2,9.7,3.2,8.8,0.0,0.9,120.98527872892848,330.5274402052984,5.758374289433645,1
당진,2020-01-02,240.8261444540108,겨울,1.4,0.0,0.0,0.0,9.7,0.6,8.4,0.0,1.0,312.7984903515808,218.86420837594648,10.447542971689852,1
당진,2020-01-03,278.72575621546736,겨울,0.7,0.0,0.0,0.0,9.7,7.8,5.4,0.0,1.8,258.7529596224804,365.5509489033195,9.496067685257929,1
당진,2020-01-04,171.51198106937198,겨울,0.1,0.0,0.0,0.0,9.7,5.8,2.5,0.0,1.4,353.16745887218946,209.80566283994585,6.749774461295024,1
당진,2020-01-05,71.81284680474803,겨울,0.9,0.0,0.0,0.0,9.7,6.9,4.9,0.0,1.0,112.17866257689296,364.46560549750336,4.566984404140866,1
당진,2020-01-06,400.68292610838967,겨울,3.3,0.0,0.0,0.0,9.8,0.0,10.0,0.0,2.6,303.9753870336066,222.04235504196225,13.26458959932322,1
당진,2020-01-07,137.8203356717211,겨울,8.2,0.0,0.0,42.2,9.8,0.0,9.8,0.0,6.7,328.1674216021755,383.6423343795564,9.290167833727455,1
당진,2020-01-08,117.38465206071422,겨울,3.5,0.0,0.0,1.3,9.8,0.0,7.8,0.0,4.4,52.54772300886727,252.54626652337777,1.5937427426586712,1
당진,2020-01-09,317.82566062458864,겨울,0.4,0.0,0.0,0.0,9.8,7.5,3.8,0.0,2.7,361.4417141520822,307.6327629854958,12.143103635891324,1
당진,2020-01-10,323.8414927047043,겨울,-0.9,0.0,0.0,0.0,9.8,8.3,6.4,0.0,1.2,331.6317830640462,143.78760183632164,6.321541440565235,1
당진,2020-01-11,284.5820445163658,겨울,0.8,0.0,0.0,0.0,9.8,7.6,6.8,0.0,1.6,405.1414262498317,247.5492592419461,9.595434559241664,1
당진,2020-01-12,107.55583758622402,겨울,1.2,0.0,0.0,0.0,9.9,6.5,7.0,0.0,2.0,254.2683794222853,348.19081250780664,0.6371613364353799,1
