지점,지점명,일시,평균기온(°C),강수 계속시간(hr),1시간 최다강수량(mm),일강수량(mm),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C)
129,서산,2017-01-07,4,,,,9.8,5.1,1200,1.21,6.08,,6.4,3.3,5.2
129,서산,2017-01-08,6.6,.58,,0,9.8,.7,1300,.89,3.86,,9,8,7.8
129,서산,2017-01-09,2.5,,,,9.8,7.2,1200,1.41,7.12,,3.4,3.4,6.6
129,서산,2017-01-10,-.7,.67,,.1,9.8,5.9,1000,.88,5.04,,3.5,3.5,2.5
129,서산,2017-01-11,-3.4,2.08,,0,9.8,6.1,1100,1.23,6.55,,3.3,2.9,.5
129,서산,2017-01-12,-.4,1.58,,1.1,9.9,3.5,1200,1.04,4.23,,3.5,3.3,1.6
129,서산,2017-01-13,-4.1,5.25,,1.3,9.9,3.8,1300,1.64,5.97,2.5,7,7,.8
129,서산,2017-01-14,-5.4,.67,,0,9.9,9,1200,1.58,9.46,,2.3,2.3,.1
129,서산,2017-01-15,-5.9,,,,9.9,9.2,1200,1.57,9.39,,0,0,-.8
129,서산,2017-01-16,-4.7,,,,9.9,9.1,1200,1.55,9.72,,.1,0,-.8
129,서산,2017-01-17,-2.8,,,,10,2.7,1300,.98,5.32,,6,3.1,.2
129,서산,2017-01-18,-.9,1,,0,10,3.1,1100,1.09,4.23,,7.4,6.1,2
129,서산,2017-01-19,-1.9,,,,10,8.3,1100,1.58,8.33,,4.3,2.6,1
129,서산,2017-01-20,-4,6.92,,7,10,3.8,1300,1.41,5.55,6.5,5.6,5.4,2.3
129,서산,2017-01-21,-2.9,10.17,,2.4,10.1,3.5,1000,.87,5,4.8,8.6,8,2
129,서산,2017-01-22,-4.7,6.83,,.1,10.1,4.1,1200,1.16,6.89,5,8,7.8,2.4
129,서산,2017-01-23,-6.3,3.17,,0,10.1,8.2,1100,1.5,9.32,2.5,4,4,1.8
129,서산,2017-01-24,-6.5,,,,10.2,9.1,1200,1.66,9.71,1.3,1.4,1.4,.9
129,서산,2017-01-25,-6,,,,10.2,9.2,1200,1.68,9.34,.9,0,0,.4
129,서산,2017-01-26,-1.5,,,,10.2,6.7,1300,1.33,7.5,.3,6.4,3.3,.8
129,서산,2017-01-27,-1.7,2.28,,2.7,10.2,9,1200,1.69,10.3,,2.1,1,3.2
129,서산,2017-01-28,-.6,,,,10.3,7.3,1200,1.66,9.51,,4.9,3,1.9
129,서산,2017-01-29,.9,16.18,,6,10.3,0,1300,.16,.79,1.5,10,7.9,3.3
129,서산,2017-01-30,-3.9,1.25,,.2,10.3,8.2,1300,1.62,9.6,1.6,4.4,4.4,3.7
129,서산,2017-01-31,-5.7,,,,10.4,8.3,1200,1.68,9.1,.3,3,1.4,1.9
129,서산,2017-02-01,-2.6,,,,10.4,9,1300,1.76,10.73,,2.6,1.4,2.9
129,서산,2017-02-02,-2.2,,,,10.4,9.6,1200,1.77,11.28,,1.6,1.6,2.8
129,서산,2017-02-03,0,,,,10.4,8.7,1200,1.5,9.31,,2.3,1.8,3.8
129,서산,2017-02-04,1.3,,,,10.5,0,1100,.63,3.14,,7.1,5.8,2.4
129,서산,2017-02-05,2.1,5.58,,1.1,10.5,0,900,.33,1.64,,7.5,6.8,3.8
129,서산,2017-02-06,-.8,,,,10.6,8,1200,1.81,10.1,,1.1,.8,3.9
129,서산,2017-02-07,-1.6,,,,10.6,7,1200,1.59,9.26,,5.9,2.4,2.9
129,서산,2017-02-08,-1.5,,,,10.6,1.8,1200,1.1,5.87,,7.1,3.6,2.2
129,서산,2017-02-09,-3.4,3.83,,0,10.7,6.2,1100,1.22,7.35,,7.1,6.4,1.2
129,서산,2017-02-10,-4.5,7.33,,0,10.7,7,1000,1.28,8.21,0,6.6,6.4,1.7
129,서산,2017-02-11,-2.6,,,,10.7,9.5,1300,1.76,11.75,,5.1,5.1,3
129,서산,2017-02-12,-2.7,,,,10.8,10,1200,1.91,12.04,,.3,.3,2.4
129,서산,2017-02-13,-1,1,,.1,10.8,4,1100,1.43,6.13,,3.6,3.6,1.7
129,서산,2017-02-14,-1,,,,10.8,10,1300,1.85,12.19,,0,0,3.7
129,서산,2017-02-15,-.8,,,,10.9,9.4,1200,1.65,10.38,,.1,0,3.1
129,서산,2017-02-16,5,3.58,,.3,10.9,4,1000,1.44,6.61,,6,5.4,4.6
129,서산,2017-02-17,.8,3.67,,4.1,10.9,7.5,1400,1.68,9.62,,4.8,2.4,6.6
129,서산,2017-02-18,-2.7,,,,11,10.1,1200,1.92,12.87,,0,0,3.3
129,서산,2017-02-19,2.6,7.08,,7.5,11,2.7,1100,1.55,5.74,,7.9,5.8,3.5
129,서산,2017-02-20,-.8,3.5,,2.3,11,9.1,1200,1.97,12.32,,2.1,2,5.7
129,서산,2017-02-21,-1.4,,,,11.1,9.9,1200,1.92,12.46,,3.1,1,4
129,서산,2017-02-22,1.6,13.17,,16,11.1,0,1300,.19,.98,,9.5,7.3,4.3
129,서산,2017-02-23,-.4,,,,11.2,10.1,1200,1.95,12.87,,3,1.9,4.2
129,서산,2017-02-24,-.9,,,,11.2,9.6,1200,1.98,13.62,,3.6,3.1,4.3
129,서산,2017-02-25,.9,,,,11.2,10.2,1200,1.95,13.72,,.4,.4,5
129,서산,2017-02-26,1.4,,,,11.3,9.9,1200,2.03,13.3,,0,0,5.7
129,서산,2017-02-27,1.8,,,,11.3,10.3,1200,2.05,14.01,,0,0,5.6
129,서산,2017-02-28,2.5,,,,11.3,10.1,1200,2,13.26,,2,0,5.7
129,서산,2017-03-01,4.9,6.75,,1.5,11.4,2.2,1100,1.47,5.81,,9.4,4.3,5.8
129,서산,2017-03-02,.8,2.42,,.6,11.4,10.3,1200,2.16,14.48,,1.5,1.4,7.2
129,서산,2017-03-03,1.5,,,,11.5,10.4,1200,2.08,13.91,,2.1,0,5.7
129,서산,2017-03-04,2.9,,,,11.5,10.5,1200,2.12,14.15,,.4,.1,6.7
129,서산,2017-03-05,4.4,1,,0,11.5,6.9,1300,1.81,10.53,,7.4,3.8,8.3
129,서산,2017-03-06,.5,,,,11.6,10.6,1200,2.24,15.33,,1.5,.8,5.9
129,서산,2017-03-07,-1.2,4.25,,2.7,11.6,10.5,1300,2.19,15.31,3.5,4.5,3.9,5.7
129,서산,2017-03-08,.7,,,,11.7,8.5,1200,2.07,11.97,,2.6,2.6,4.5
129,서산,2017-03-09,2.3,,,,11.7,10.6,1200,2.11,14.36,,.6,.6,6.3
129,서산,2017-03-10,2.8,,,,11.7,10.7,1200,2.21,15.49,,.1,0,7.3
129,서산,2017-03-11,4.7,,,,11.8,10.5,1200,2.13,14.81,,3,0,8
129,서산,2017-03-12,6.4,,,,11.8,7.9,1200,1.84,11.62,,5.8,2.8,9.3
129,서산,2017-03-13,4.9,,,,11.9,9.6,1200,2.17,14.54,,4.1,0,9.8
129,서산,2017-03-14,4.1,,,,11.9,10.6,1200,2.26,15.54,,0,0,9.2
129,서산,2017-03-15,3,,,,11.9,11,1200,2.22,15.93,,.5,0,9.1
129,서산,2017-03-16,3.1,,,,12,10.6,1100,2.05,13.97,,2.6,0,8.2
129,서산,2017-03-17,5.3,,,,12,10.9,1200,2.19,15.49,,1.6,0,9.8
129,서산,2017-03-18,6.4,,,,12.1,8.2,1200,2.14,13.75,,2.9,2.1,11.5
129,서산,2017-03-19,8.2,,,,12.1,10.7,1200,2.2,15.21,,.3,.3,11.8
129,서산,2017-03-20,7,,,,12.1,.4,1400,.54,3.96,,7.6,6.4,9.2
129,서산,2017-03-21,5.2,,,,12.2,10.7,1200,2.3,16.48,,.9,.9,11.3
129,서산,2017-03-22,5,,,,12.2,8.5,1200,2.25,13.97,,5,0,10.7
129,서산,2017-03-23,6.3,,,,12.2,7.3,1300,1.98,12.53,,4.4,1,12
129,서산,2017-03-24,5.7,,,,12.3,6.6,1200,2.04,12.42,,7.1,1.4,11.3
129,서산,2017-03-25,5.6,,,,12.3,3.3,1000,1.44,10.27,,7,5.5,11.9
129,서산,2017-03-26,4.3,.83,,0,12.4,3.7,1100,1.64,9.25,,7.1,5.5,8.9
129,서산,2017-03-27,5.4,.58,,0,12.4,7.8,1300,2.05,12.86,,5.1,4.1,12
129,서산,2017-03-28,6.7,,,,12.5,5.7,1200,1.82,11.9,,9,6,12.6
129,서산,2017-03-29,7,,,,12.5,9.3,1200,2.29,15.41,,4,1.1,13.2
129,서산,2017-03-30,7.8,,,,12.5,10.3,1200,2.33,15.96,,4.1,1.8,13.5
129,서산,2017-03-31,8.9,,,,12.6,5.3,1200,2.06,11.99,,7.4,5.1,14.1
129,서산,2017-04-01,6.8,,,,12.6,11,1300,2.3,15.97,,1.5,1.5,14.6
129,서산,2017-04-02,6.9,,,,12.6,11.6,1200,2.38,17.51,,.4,0,14.1
129,서산,2017-04-03,8.6,,,,12.7,10,1200,2.41,17.24,,2.5,2.5,16.2
129,서산,2017-04-04,11.5,,,,12.7,10.1,1200,2.13,15.13,,3.9,.8,15.7
129,서산,2017-04-05,11.4,17.17,6.3,24.6,12.8,0,1000,.4,1.76,,10,8.4,13.1
129,서산,2017-04-06,9.9,.33,0,0,12.8,2.3,1400,1.86,8.54,,9.1,8.1,14.9
129,서산,2017-04-07,11.4,,,,12.8,7.7,1200,2.3,14.48,,6,3.5,16
129,서산,2017-04-08,10.1,,,,12.9,7.3,1200,2.23,15.07,,7.6,3,15.6
129,서산,2017-04-09,14,.42,0,0,12.9,8.7,1200,2.38,16.6,,6.1,3.5,16.6
129,서산,2017-04-10,15,,,,13,9,1200,2.49,16.84,,6.3,4.4,17.9
129,서산,2017-04-11,12.5,4.75,.3,.3,13,8.4,1200,2.42,16.37,,4.6,1.6,17.6
129,서산,2017-04-12,11.8,,,,13,11.9,1200,2.57,19.04,,1.1,0,16.7
129,서산,2017-04-13,10.7,,,,13.1,11.2,1200,2.3,16.95,,1.4,.4,15.5
129,서산,2017-04-14,12.4,.83,.4,.4,13.1,3.8,1400,1.72,9.17,,6.6,3.8,15.2
129,서산,2017-04-15,14.9,,,,13.1,11.7,1200,2.49,18.86,,1.5,1.3,18.9
129,서산,2017-04-16,16,,,,13.2,6.5,1200,2.53,15.2,,8.4,4.3,20.1
129,서산,2017-04-17,12.3,6.57,4.2,11.2,13.2,2.5,1600,1.6,4.67,,6.8,4.8,14.9
129,서산,2017-04-18,10.6,2.25,1,1.2,13.2,5,900,1.56,7.52,,4.8,4.4,13.8
129,서산,2017-04-19,10.9,,,,13.3,11.8,1200,2.56,19.45,,1.5,1.1,15.9
129,서산,2017-04-20,10.6,1.13,1.1,1.2,13.3,1.1,1400,1.39,6.16,,8,4.9,14.4
129,서산,2017-04-21,11.5,,,,13.4,10.7,1200,2.39,17.6,,4.9,2.1,16.6
129,서산,2017-04-22,12.7,,,,13.4,12.3,1300,2.52,19.64,,1,1,18.3
129,서산,2017-04-23,11.9,,,,13.4,12.6,1200,2.62,20.62,,0,0,18.1
129,서산,2017-04-24,12.7,,,,13.5,12.2,1200,2.7,20.37,,2.4,0,17.6
129,서산,2017-04-25,14.5,.92,0,0,13.5,6.1,1100,2.28,14.63,,7.9,3.9,18.4
129,서산,2017-04-26,13.7,.88,0,0,13.5,11.7,1200,2.67,20.02,,4.6,2.4,20.6
129,서산,2017-04-27,11.8,,,,13.6,12.5,1200,2.66,20.78,,.1,0,19.5
129,서산,2017-04-28,12.4,,,,13.6,9,1200,2.5,17.37,,1.8,1.6,17.6
129,서산,2017-04-29,15.2,,,,13.6,11,1200,2.56,19.62,,2.3,2.3,21.4
129,서산,2017-04-30,16.3,,,,13.7,11.2,1200,2.43,18.73,,1.6,1.6,21.9
129,서산,2017-05-01,17.7,,,,13.7,10.7,1200,2.57,19.01,,2.5,2.5,24
129,서산,2017-05-02,17,,,,13.7,11.6,1200,2.07,16.78,,4,0,23
129,서산,2017-05-03,18.2,,,,13.8,12.6,1200,2.64,20.94,,0,0,24.6
129,서산,2017-05-04,18.7,,,,13.8,6.8,1100,1.83,12.88,,6.5,2.9,22
129,서산,2017-05-05,19.4,,,,13.8,11.2,1200,2.64,20.31,,5.1,4.1,27.2
129,서산,2017-05-06,13.7,,,,13.9,11.8,1200,2.61,18.95,,2.3,0,22.8
129,서산,2017-05-07,15.7,,,,13.9,12.1,1200,2.64,20.68,,.4,.3,23.4
129,서산,2017-05-08,16.1,,,,13.9,1.2,1000,1.31,9.47,,9.3,4.3,20.5
129,서산,2017-05-09,14.7,13.97,3.4,8.9,14,1.7,1100,2.57,7.52,,9.5,5.8,17.2
129,서산,2017-05-10,15.1,7.33,1.2,2.1,14,6.8,1200,2.13,13.98,,6,3.6,19.7
129,서산,2017-05-11,17.4,.67,0,0,14,6.3,1300,1.96,13.83,,8.3,4.6,20.6
129,서산,2017-05-12,17.3,1.4,.4,.4,14.1,0,1000,.86,6.56,,7.6,4.5,18.9
129,서산,2017-05-13,15.1,1,6.9,6.9,14.1,5.2,1300,2.01,10.6,,4.6,4.3,17.3
129,서산,2017-05-14,14.6,,,,14.1,13.1,1200,2.74,21.81,,.5,.1,19.1
129,서산,2017-05-15,14.7,,,,14.1,13.2,1200,2.69,21.86,,1.1,1,21.6
129,서산,2017-05-16,15,,,,14.2,10,1300,2.58,18.56,,5.5,2.6,23.7
129,서산,2017-05-17,16.1,,,,14.2,12,1200,2.62,21.12,,1,1,24.7
129,서산,2017-05-18,17.7,,,,14.2,13,1300,2.52,20.2,,.9,0,25.1
129,서산,2017-05-19,18.4,,,,14.2,13.1,1200,2.64,21.68,,.3,0,25.9
129,서산,2017-05-20,18.6,,,,14.3,12.9,1200,2.4,19.24,,5.1,0,26.2
129,서산,2017-05-21,19.2,,,,14.3,13.1,1200,2.63,21.52,,2.4,0,27.9
129,서산,2017-05-22,19.6,,,,14.3,12.9,1100,2.55,20.14,,2.5,.1,27.4
129,서산,2017-05-23,19,3.33,5.4,7.5,14.3,2.1,1000,1.73,10.86,,8.3,3.8,22.9
129,서산,2017-05-24,19,2.43,1.6,2.1,14.4,10,1300,2.63,19.54,,4.3,3.9,23.8
129,서산,2017-05-25,16.8,,,,14.4,11,1400,2.39,19.76,,.5,.5,23.3
129,서산,2017-05-26,16.1,,,,14.4,13.5,1200,2.77,22.93,,.4,.4,24.7
129,서산,2017-05-27,16.5,,,,14.4,13.4,1200,2.69,22.27,,0,0,24.8
129,서산,2017-05-28,18.5,,,,14.5,12.1,1200,2.45,19.45,,.8,.5,25
129,서산,2017-05-29,20,,,,14.5,11.6,1200,2.51,19.89,,1.5,0,27.1
129,서산,2017-05-30,21.4,,,,14.5,11.2,1400,2.31,17.69,,5,0,27
129,서산,2017-05-31,21.1,,,,14.5,8.2,1400,1.94,15.44,,6.5,4.1,27.5
129,서산,2017-06-01,20.1,,.1,.1,14.5,7.4,1500,2,14.01,,4.9,4.3,26.9
129,서산,2017-06-02,18.6,.7,.1,.1,14.5,12.6,1200,2.7,22.35,,2.8,2.4,28
129,서산,2017-06-03,18,,,,14.6,13.3,1200,2.67,22.15,,1.9,1,28.2
129,서산,2017-06-04,19.3,,,,14.6,13.5,1200,2.69,22.77,,.6,.5,28.7
129,서산,2017-06-05,20.6,,,,14.6,11.6,1200,2.39,20,,5.5,.5,29.3
129,서산,2017-06-06,18.2,13.8,1,3.2,14.6,0,1000,.87,4.94,,9.6,2.8,21.1
129,서산,2017-06-07,17.5,8.25,1.2,4.6,14.6,1.3,1800,.49,3.88,,9.6,8.9,19.8
129,서산,2017-06-08,18.7,,,,14.6,9.5,1300,2.67,19.07,,5.9,4.8,24.3
129,서산,2017-06-09,20.3,,,,14.6,8.7,1200,2.58,18.29,,6.4,3.9,25
129,서산,2017-06-10,20.6,,,,14.6,7.2,1100,1.93,14.99,,8.1,3,25.3
129,서산,2017-06-11,20.7,,,,14.6,13.6,1200,2.76,23.18,,.8,0,27.4
129,서산,2017-06-12,20.3,,,,14.6,8.4,1100,2.4,16.49,,6.1,3.1,25.8
129,서산,2017-06-13,19.6,1.33,.2,.2,14.7,9.3,1100,2.61,19.15,,4.8,2.3,26.8
129,서산,2017-06-14,20.5,,,,14.7,11.9,1100,2.45,19.95,,3,3,28.9
129,서산,2017-06-15,21,,,,14.7,12.1,1200,2.55,20.51,,2.6,2.4,28.5
129,서산,2017-06-16,22.7,,,,14.7,10.9,1200,2.48,19.34,,3.1,3,29.6
129,서산,2017-06-17,22.1,,,,14.7,12.9,1200,2.51,20.57,,.1,0,29.6
129,서산,2017-06-18,21.9,,,,14.7,11.7,1200,2.57,21.17,,.6,.6,29.8
129,서산,2017-06-19,22.4,,,,14.7,11.6,1200,2.6,19.83,,5.5,2.1,30.5
129,서산,2017-06-20,23.1,.25,0,0,14.7,3.9,1100,1.8,11.45,,7,4.4,27
129,서산,2017-06-21,22.8,.25,0,0,14.7,11.5,1200,2.65,20.61,,4,2.5,31.2
129,서산,2017-06-22,23.1,,,,14.7,11.2,1200,2.63,19,,3.1,2.6,29.4
129,서산,2017-06-23,23.4,,,,14.7,12.3,1200,2.58,19.6,,3.3,.6,30.7
129,서산,2017-06-24,21.3,4.18,0,0,14.7,.4,1000,.96,5.58,,9.1,3.9,24.1
129,서산,2017-06-25,22.9,2.5,.7,1,14.7,10.2,1300,2.14,17.37,,5.8,3.6,28.1
129,서산,2017-06-26,22.2,5.17,10.4,13.8,14.7,4.1,1000,1.91,11.62,,7.6,4,24.2
129,서산,2017-06-27,23.3,1.98,.2,.3,14.7,4.6,1300,1.95,13.34,,7,5.1,25.9
129,서산,2017-06-28,23.7,,,,14.7,5.3,1200,1.97,13.16,,6.9,4.8,26
129,서산,2017-06-29,23.7,,,,14.7,7.7,1300,2.34,15.38,,5.4,1.8,27
129,서산,2017-06-30,24.4,,,,14.7,5.7,1300,2.2,14.32,,8.4,3.6,28.4
129,서산,2017-07-01,23,6.63,8.2,11.1,14.6,0,1000,.94,5.21,,9.6,5.4,24.6
129,서산,2017-07-02,24.5,10.75,2.4,4.3,14.6,.1,1100,.55,3.21,,9.9,7.9,25
129,서산,2017-07-03,23.8,12,2.2,7.9,14.6,0,1000,.61,3.97,,10,8.3,24.5
129,서산,2017-07-04,25.3,7.27,10.3,14.8,14.6,5.8,1100,2.07,12.62,,8,7.3,26.4
129,서산,2017-07-05,26.3,,,,14.6,9.6,1200,2.45,17.2,,5.6,5.1,28.6
129,서산,2017-07-06,25.8,1.05,1,1,14.6,5.4,1000,1.88,14.15,,7.3,3.3,27.3
129,서산,2017-07-07,25.9,7.3,14.2,14.8,14.6,0,1200,.62,4.38,,9.8,7,26
129,서산,2017-07-08,25.3,5.42,34.9,74.9,14.6,.5,1100,1.34,6.14,,9.9,7.3,25.8
129,서산,2017-07-09,26.3,3.92,2.2,2.3,14.5,1.8,1300,2.05,9.74,,9.9,6,27
129,서산,2017-07-10,25.1,13.97,9.7,47.2,14.5,0,1200,.31,1.62,,10,7.9,25.1
129,서산,2017-07-11,24.6,.32,0,0,14.5,1.8,1100,1.51,8.09,,9.5,8.8,25.8
129,서산,2017-07-12,25.3,.92,.1,.1,14.5,7,1400,2.05,13.36,,5.5,5.5,27.9
129,서산,2017-07-13,25.5,,,,14.5,7.8,1300,2.48,17.45,,3.9,3.4,28.3
129,서산,2017-07-14,26.9,2.58,1.5,1.7,14.5,6,1200,2.31,14.79,,7.9,5.1,27.4
129,서산,2017-07-15,24.6,8.57,5.3,12.7,14.4,.3,1200,1.16,6.64,,10,8.1,25.8
129,서산,2017-07-16,25.1,12.85,6.7,15.4,14.4,0,1600,.33,2.31,,10,5.9,25.5
129,서산,2017-07-17,24.6,13.15,1.8,5.5,14.4,0,1500,.61,3.04,,10,6.5,25.6
129,서산,2017-07-18,25.4,2.38,1,1.3,14.4,4.4,1100,2.08,11.28,,9,7.4,27.4
129,서산,2017-07-19,26.8,.85,0,0,14.4,4.7,1100,2.08,12.81,,7,5.9,29.2
129,서산,2017-07-20,27.4,,,,14.3,11.3,1200,2.47,19.16,,2.9,2.9,30.3
129,서산,2017-07-21,28,,,,14.3,7.7,1300,2.31,14.96,,7.6,5,29.9
129,서산,2017-07-22,26.9,,,,14.3,2,1400,1.51,9.07,,9.1,7.1,29.1
129,서산,2017-07-23,26.5,,,,14.3,0,1200,1.24,4.23,,9.6,9.1,27.8
129,서산,2017-07-24,26.6,5.67,12.3,25.9,14.3,0,900,.47,2.92,,9.6,8.8,28.2
129,서산,2017-07-25,27.6,,,,14.2,11.7,1200,2.48,18.74,,5,4.8,30.8
129,서산,2017-07-26,27.2,.13,0,0,14.2,6.6,1400,2.3,14.95,,4,3.4,30.2
129,서산,2017-07-27,27,,,,14.2,6.1,1300,2.48,14.38,,6.5,4.6,29.9
129,서산,2017-07-28,25.8,3.17,.4,.7,14.1,0,1100,.5,3.78,,9.4,6.9,27.8
129,서산,2017-07-29,26.7,,,,14.1,3.6,1300,1.89,11.29,,7.8,7.1,28.9
129,서산,2017-07-30,27,.13,0,0,14.1,8.1,1100,1.97,14.94,,6.9,6,30.2
129,서산,2017-07-31,24.1,13.42,51.8,86.2,14.1,0,1200,.46,2.17,,9.6,4,26.7
129,서산,2017-08-01,27.1,6.05,3.7,6.4,14,7.3,1300,2.26,14.53,,6.3,3.5,29.1
129,서산,2017-08-02,28.6,1.03,5.9,5.9,14,9.8,1200,2.78,17.08,,3.6,2.8,31
129,서산,2017-08-03,28.1,,,,14,11.1,1300,2.57,18.39,,3.3,0,30.7
129,서산,2017-08-04,28.4,,,,13.9,11.9,1300,2.55,18.33,,4,1.1,30.2
129,서산,2017-08-05,29.7,,,,13.9,11.2,1100,2.43,17.18,,4,2.3,31.2
129,서산,2017-08-06,27.8,2.83,17.8,24.4,13.9,5.6,1400,1.91,10.21,,5.9,4.1,30.8
129,서산,2017-08-07,27.4,,,,13.9,12,1200,2.4,17.86,,2.3,2,30.4
129,서산,2017-08-08,26,1.32,0,0,13.8,2.5,1300,1.52,10.45,,7.1,3.3,28.7
129,서산,2017-08-09,25.3,6.65,3.2,3.4,13.8,2.7,1200,1.56,10.47,,9.1,5.3,28.1
129,서산,2017-08-10,26.4,.77,0,0,13.7,7,1400,2.13,14.82,,5.5,4.4,27.9
129,서산,2017-08-11,25.6,2.35,8,13.1,13.7,8.1,1000,2.06,11.79,,3,2.8,26.8
129,서산,2017-08-12,26.4,,,,13.7,8.1,1000,1.84,13.2,,4.9,2,29.1
129,서산,2017-08-13,24.7,6.83,.9,.9,13.7,0,1100,.82,6.29,,9,4.1,27.8
129,서산,2017-08-14,22.5,18.3,4.5,25.6,13.6,0,1100,.8,3.88,,10,4.5,26.2
129,서산,2017-08-15,24.2,10.3,12.4,18.4,13.6,.2,1100,.81,3.42,,9.4,8.1,26.2
129,서산,2017-08-16,25.3,.58,0,0,13.5,2.9,1500,1.96,11.38,,7.3,4.5,27.7
129,서산,2017-08-17,25.3,1.05,2.7,2.7,13.5,8.3,1400,2.46,15.83,,7,6.4,29.5
129,서산,2017-08-18,24.2,3.27,4.3,5.5,13.5,3.9,1300,2.33,10.42,,6.6,2.1,28
129,서산,2017-08-19,25.1,5.4,4.7,13.5,13.5,.6,1100,1.29,7.63,,8.6,2.4,27.9
129,서산,2017-08-20,25.1,14.27,20.9,64.8,13.4,.2,1300,1.14,5.11,,9.9,7.5,27.2
129,서산,2017-08-21,25.1,4.87,1.4,3,13.4,2.7,1200,1.19,7.84,,8,6.6,27.1
129,서산,2017-08-22,26.6,,,,13.3,9.7,1200,2.61,17.03,,6,4.5,29.8
129,서산,2017-08-23,27.9,3.85,11,20.5,13.3,4.5,1300,1.86,9.35,,9.1,8.1,29.2
129,서산,2017-08-24,26.3,4.47,8.4,12.2,13.3,0,1100,.71,3.89,,8.6,7.3,28
129,서산,2017-08-25,24.4,,,,13.2,9.9,1200,2.42,16.33,,4.8,2,27.9
129,서산,2017-08-26,22.2,,,,13.2,11.3,1200,2.54,18.79,,2.3,0,27.7
129,서산,2017-08-27,22.4,,,,13.2,5.1,1000,2.02,13.37,,7.3,3.5,26.9
129,서산,2017-08-28,22.4,4.05,8.5,11,13.1,2.5,1000,1.45,7.43,,8.3,5,25.7
129,서산,2017-08-29,19.9,,,,13.1,10.8,1100,2.26,17.62,,4.9,2.1,24.9
129,서산,2017-08-30,19.2,1.75,0,0,13.1,1.2,1500,.87,5.82,,8.3,6.3,22.9
129,서산,2017-08-31,21.1,,,,13,11.8,1100,2.41,17.59,,1.8,1.5,27.4
129,서산,2017-09-01,21.8,,,,13,12.1,1200,2.47,18.92,,.1,0,28.2
129,서산,2017-09-02,21.7,,,,12.9,10.9,1100,2.14,14.25,,2.3,.4,26.3
129,서산,2017-09-03,22.3,,,,12.9,9.8,1200,2.54,15.62,,3.8,.6,26.9
129,서산,2017-09-04,22.9,,,,12.9,10.7,1000,2.04,15.52,,5.5,.6,27.7
129,서산,2017-09-05,20.8,2.83,0,0,12.8,0,1000,.52,3.81,,9.6,4.4,24.6
129,서산,2017-09-06,20.5,9.52,.1,.1,12.8,0,1400,.49,3.45,,9.9,7.6,24.4
129,서산,2017-09-07,21.6,.17,0,0,12.7,9.3,1100,1.84,14.1,,4,3.9,26
129,서산,2017-09-08,22.3,,,,12.7,10.6,1200,2.44,16.86,,3.9,2.6,27.7
129,서산,2017-09-09,21.3,,,,12.7,6.9,1100,1.9,11.62,,5.3,2.3,25.9
129,서산,2017-09-10,22.3,1.12,0,0,12.6,0,1100,1.25,5.73,,8.6,3.5,24.7
129,서산,2017-09-11,19.9,10,4.8,14.6,12.6,2.5,1100,1.25,6.12,,6.6,3.1,23.5
129,서산,2017-09-12,19.9,,,,12.6,11.5,1200,2.36,16.85,,.4,.4,25.2
129,서산,2017-09-13,19.4,,,,12.5,11.5,1200,2.39,17.62,,0,0,26.5
129,서산,2017-09-14,20.4,,,,12.5,11.4,1200,2.32,16.87,,.1,0,27.1
129,서산,2017-09-15,21.5,,,,12.4,10.9,1200,2.33,16.26,,4.5,.3,26.2
129,서산,2017-09-16,20.4,,,,12.4,9,1300,2.26,13.68,,3.8,.3,26.1
129,서산,2017-09-17,21.5,,,,12.4,9.4,1200,2.29,15.66,,2.9,1.6,27.7
129,서산,2017-09-18,20.2,,,,12.3,11,1300,2.12,14.93,,1.8,1.4,26
129,서산,2017-09-19,23,,,,12.3,3.3,1400,1.5,7.15,,6.8,6.8,27
129,서산,2017-09-20,18.5,,,,12.2,11.4,1200,2.36,16.95,,2.1,.1,26.4
129,서산,2017-09-21,17.9,,,,12.2,11.2,1300,2.2,16.12,,1.1,.8,26.3
129,서산,2017-09-22,18.5,,,,12.2,11.3,1300,2.06,15.14,,3,.9,26.1
129,서산,2017-09-23,20.3,,,,12.1,6.1,1200,1.82,10.95,,7.9,5.1,26.5
129,서산,2017-09-24,22.1,2.22,0,0,12.1,4.7,1300,1.56,8.52,,8,7,27.6
129,서산,2017-09-25,22.6,,,,12.1,9.3,1200,1.97,13.03,,3.4,2.5,28.8
129,서산,2017-09-26,23,1.77,0,0,12,7.2,1100,1.96,11.7,,5.1,3.5,27.4
129,서산,2017-09-27,20.2,5.52,9.9,22.9,12,3,1200,1.6,8.45,,7.9,5.9,23.9
129,서산,2017-09-28,18.9,,,,11.9,10.7,1200,2.15,14.97,,2.9,2.6,23.6
129,서산,2017-09-29,14.5,,,,11.9,9.5,1200,2.15,13.03,,4,0,20.3
129,서산,2017-09-30,17.5,,,,11.9,10.5,1200,2.13,14.39,,1.4,.4,23.1
129,서산,2017-10-01,16.1,13.38,2.5,11.2,11.8,0,1200,.51,2.62,,9.4,5,20.1
129,서산,2017-10-02,19.6,7.95,2.6,5.1,11.8,8.2,1400,1.69,11.61,,3.4,3.1,22.9
