위치,일자,현재발전출력,수평일사량1,수평일사량2,경사일사량1,경사일사량2,외기온도1,외기온도2,계절
당진,2019-01-01,110.65736944334847,126.1773137690416,154.39764757717356,132.25960290668817,160.38297846976747,14.841145753860474,15.428378337138408,겨울
당진,2019-01-02,328.8572333663251,352.8460932983572,372.6835103658466,382.95900078401417,406.38263632936935,15.685416592491997,14.837354704391124,겨울
당진,2019-01-03,344.74021549215024,388.09737487368216,424.3019043579303,421.36298613841205,459.246443199702,15.189285823277064,16.407851353164546,겨울
당진,2019-01-04,359.5955893333718,358.81310209181845,383.93011427629796,380.4195119688256,407.34017450598293,15.935537164861506,16.102201233869827,겨울
당진,2019-01-05,358.73768471477615,319.16586744057446,355.00710977999415,338.5675677192372,379.14657168561075,16.57913543586444,16.859499944051105,겨울
당진,2019-01-06,62.15120101576092,62.24476178045626,63.52864856655533,65.84081629149767,66.81872893535972,15.055555484913013,15.056205641293356,겨울
당진,2019-01-07,41.105022087677035,39.64451922278368,42.92974787783556,42.04927157242567,46.50061051200016,12.2195831934611,12.3308824028065,겨울
당진,2019-01-08,130.28477127852372,113.53530860781179,130.10685916454784,122.0084806504112,134.94733723521938,13.268910236847706,13.508507013320923,겨울
당진,2019-01-09,405.4900523694356,459.7517883153941,483.32526744611516,493.51459792685483,507.05879831887336,14.717910453454772,14.906994093032111,겨울
당진,2019-01-10,383.2992052317027,409.2095542103369,452.16850736663116,442.49222057322623,482.87272665322143,14.097814215988409,15.61333333795721,겨울
당진,2019-01-11,340.8125724346951,349.5449800224997,357.91306955153397,383.87921924760775,384.02864866997743,15.313216507055198,15.730118098221427,겨울
당진,2019-01-12,320.89836542464906,317.2080202620239,362.42084453705405,344.41398328145345,382.53625231391493,14.867355472785382,15.735629945289432,겨울
당진,2019-01-13,105.87304169548602,104.37088927104466,115.43425330477702,111.61111097030593,122.36314482390148,15.570930185244064,16.568092045031097,겨울
당진,2019-01-14,145.272464265339,112.74809649536408,134.13557659345514,118.86098074493631,139.09549174457788,15.47611100938585,15.324067130017637,겨울
당진,2019-01-15,336.82119858250906,366.8354655257,403.31733617287125,394.79506913575995,438.82023242417455,15.838221073150635,15.712941023882697,겨울
당진,2019-01-16,52.77901769567419,54.73704128293596,64.02969418342457,56.380295495828385,60.050000111262,13.881818294525146,14.035992832048565,겨울
당진,2019-01-17,44.484704170609476,35.531650392754564,40.35781495811558,37.38426952996058,42.24818478637796,13.691373260927872,13.586331786396347,겨울
당진,2019-01-18,173.18777176643593,167.85113918831578,185.86628609990316,172.35958173466062,194.56339506318778,14.313636432994496,13.474800140380859,겨울
당진,2019-01-19,130.28477127852372,113.53530860781179,130.10685916454784,122.0084806504112,134.94733723521938,13.268910236847706,13.508507013320923,겨울
당진,2019-01-20,405.4900523694356,459.7517883153941,483.32526744611516,493.51459792685483,507.05879831887336,14.717910453454772,14.906994093032111,겨울
당진,2019-01-21,383.2992052317027,409.2095542103369,452.16850736663116,442.49222057322623,482.87272665322143,14.097814215988409,15.61333333795721,겨울
당진,2019-01-22,340.8125724346951,349.5449800224997,357.91306955153397,383.87921924760775,384.02864866997743,15.313216507055198,15.730118098221427,겨울
당진,2019-01-23,320.89836542464906,317.2080202620239,362.42084453705405,344.41398328145345,382.53625231391493,14.867355472785382,15.735629945289432,겨울
당진,2019-01-24,105.87304169548602,104.37088927104466,115.43425330477702,111.61111097030593,122.36314482390148,15.570930185244064,16.568092045031097,겨울
당진,2019-01-25,145.272464265339,112.74809649536408,134.13557659345514,118.86098074493631,139.09549174457788,15.47611100938585,15.324067130017637,겨울
당진,2019-01-26,336.82119858250906,366.8354655257,403.31733617287125,394.79506913575995,438.82023242417455,15.838221073150635,15.712941023882697,겨울
당진,2019-01-27,52.77901769567419,54.73704128293596,64.02969418342457,56.380295495828385,60.050000111262,13.881818294525146,14.035992832048565,겨울
당진,2019-01-28,25.810807409040674,280.6731964649313,376.9951954724601,377.093003854678,58.145011776847085,3.8090907087586485,5.493971711029348,겨울
당진,2019-01-29,115.4581542321195,397.3108342763585,115.8376460878916,219.43088585551988,15.193348351286234,14.623691660439341,5.504039165569718,겨울
당진,2019-01-30,63.12701482118901,251.53138465545976,164.69496327981543,303.5489064665294,163.5777119959408,2.8311474810101727,7.55349410889329,겨울
당진,2019-01-31,295.1887008314691,414.1575900421914,360.7772962119914,37.38357999109258,183.6751802213477,1.9471552605545748,14.52780686147456,겨울
당진,2020-01-01,92.7390956838831,239.43293215662132,2.537625301235688,318.0802258995178,342.9746545110789,9.969564011770178,1.5471845670971114,겨울
당진,2020-01-02,240.82614445401074,297.3980114019666,328.198969301195,252.66605083505775,185.0623659168352,12.330058369989846,8.565027573389859,겨울
당진,2020-01-03,278.72575621546736,101.12820825663674,416.377710988324,372.8326726253036,358.26922518133546,11.868345933440251,7.1237894370756,겨울
당진,2020-01-04,171.51198106937198,359.91071427127866,346.42420347310025,44.67976351819982,374.93156216169183,0.7706810009092356,12.728867921680811,겨울
당진,2020-01-05,71.81284680474803,100.80321347203414,123.55411168175178,285.50284429905446,443.42836669595226,3.8421176105791734,5.291851197702559,겨울
당진,2020-01-06,400.68292610838967,262.2459535082791,345.7048205589341,165.5077880462929,278.5769220376316,13.126821364446588,13.402357834199854,겨울
당진,2020-01-07,137.8203356717211,214.9987669566402,441.3360762477109,365.97452754810354,401.3101412110092,6.079501987223322,12.500833680231587,겨울
당진,2020-01-08,117.38465206071422,32.460613939316076,72.63483207841844,429.6015936609297,75.49093938582584,2.6641945177382094,0.5232909675791331,겨울
당진,2020-01-09,317.82566062458864,266.28672281512837,456.5967054890361,442.5215923154592,172.74393365553237,13.308601475499689,10.977605796282958,겨울
당진,2020-01-10,323.8414927047043,392.99107130312007,270.2724948249723,179.06776809498618,108.50743557765712,1.8519676577498831,10.791115223380586,겨울
당진,2020-01-11,284.5820445163658,380.453306366903,429.82954613276036,123.58975946946906,371.5087590144231,4.937688053974605,14.253181064508723,겨울
당진,2020-01-12,107.55583758622402,418.241166856973,90.29559198759765,275.58766973993016,420.79395527568306,0.4111053589274756,0.8632173139432843,겨울
당진,2020-01-13,120.05213128015038,123.40620907162082,325.4586483481156,97.3083841248443,315.0193143683973,11.17915223958889,13.142938309585338,겨울
당진,2020-01-14,287.15295188128664,59.68257451785268,121.61323680418394,212.2809126667999,363.213048955165,12.74105530501753,6.723760497756572,겨울
당진,2020-01-15,251.89705523554522,86.83676317704729,339.4947450652432,463.8849340669108,185.72713027055667,11.159979338801966,12.765243996550964,겨울
당진,2020-01-16,150.23542005582414,109.18872423748378,77.24624435393008,64.4054924269989,435.562949315978,15.202506274815489,8.607662327032552,겨울
당진,2020-01-17,176.27236385208366,365.54694080346536,141.99148830633746,300.92280426492266,23.977895111792762,5.191206248095274,9.011965044787118,겨울
당진,2020-01-18,198.53692041538855,321.8415402408245,228.58663462227355,138.56129596175927,164.69452600156777,6.473934395935332,12.801845893074315,겨울
당진,2020-01-19,392.67367168690873,184.69760439007683,254.92390056659298,151.4154336746601,81.49991529966782,14.179791832067531,13.561887997611716,겨울
당진,2020-01-20,226.70558087310408,206.8163834100566,29.503109342877767,283.2499646322105,442.86026726602614,7.835078353511989,1.4477617973196302,겨울
당진,2020-01-21,54.1967863651922,419.40962641639544,314.8743035287171,57.682923835893185,335.44572191569915,14.228866842684074,0.33797882017167064,겨울
당진,2020-01-22,325.40603453067536,40.07517973214425,86.76402213878563,345.1802262980873,219.05614921089625,13.353231478786283,1.6499539049196352,겨울
당진,2020-01-23,80.25617927756262,74.29240014923397,69.27562259013011,245.3811637927241,254.5291242788934,0.07959297388582567,7.273912991979411,겨울
당진,2020-01-24,40.4927632982168,195.8443765827729,87.37617342703363,254.71731207454863,380.93335172305774,2.6808781326942106,6.693018506697514,겨울
당진,2020-01-25,78.43030657063137,368.7166275167787,397.1340233792613,317.1684534898551,346.6954509915596,2.337871199924437,10.438506313476724,겨울
당진,2020-01-26,52.36773950089272,379.7626833545353,408.8330089205221,5.729137559333094,128.853783207436,7.889121739432671,14.451553940100114,겨울
